lat,lon,z,time,anom
-57.5,127.5,0.0,2020-12-01,-0.326555
-57.5,132.5,0.0,2020-12-01,-0.4739862
-57.5,137.5,0.0,2020-12-01,-0.643195
-57.5,142.5,0.0,2020-12-01,-0.77877945
-57.5,147.5,0.0,2020-12-01,-0.74648273
-57.5,152.5,0.0,2020-12-01,-0.6221044
-57.5,157.5,0.0,2020-12-01,-0.48876393
-57.5,162.5,0.0,2020-12-01,-0.4006267
-57.5,167.5,0.0,2020-12-01,-0.2910552
-57.5,172.5,0.0,2020-12-01,-0.2207176
-57.5,177.5,0.0,2020-12-01,-0.11951888
-57.5,182.5,0.0,2020-12-01,-0.10687703
-57.5,187.5,0.0,2020-12-01,-0.023475386
-57.5,192.5,0.0,2020-12-01,0.04125817
-57.5,197.5,0.0,2020-12-01,0.032792747
-57.5,202.5,0.0,2020-12-01,0.017568765
-57.5,207.5,0.0,2020-12-01,-0.09956698
-57.5,212.5,0.0,2020-12-01,-0.2488254
-57.5,217.5,0.0,2020-12-01,-0.2791298
-57.5,222.5,0.0,2020-12-01,-0.27723682
-57.5,227.5,0.0,2020-12-01,-0.35202366
-57.5,232.5,0.0,2020-12-01,-0.45927736
-57.5,237.5,0.0,2020-12-01,-0.46201193
-57.5,242.5,0.0,2020-12-01,-0.46134123
-57.5,247.5,0.0,2020-12-01,-0.42479438
-57.5,252.5,0.0,2020-12-01,-0.39569739
-57.5,257.5,0.0,2020-12-01,-0.3877956
-57.5,262.5,0.0,2020-12-01,-0.39635468
-57.5,267.5,0.0,2020-12-01,-0.447191
-57.5,272.5,0.0,2020-12-01,-0.4960445
-57.5,277.5,0.0,2020-12-01,-0.5476228
-57.5,282.5,0.0,2020-12-01,-0.5897408
-57.5,287.5,0.0,2020-12-01,-0.62527454
-57.5,292.5,0.0,2020-12-01,-0.63460785
-57.5,297.5,0.0,2020-12-01,-0.47856984
-57.5,302.5,0.0,2020-12-01,-0.400356
-57.5,307.5,0.0,2020-12-01,-0.29392236
-57.5,312.5,0.0,2020-12-01,-0.13090555
-57.5,317.5,0.0,2020-12-01,-0.06446473
-57.5,322.5,0.0,2020-12-01,-0.12706949
-57.5,327.5,0.0,2020-12-01,-0.32099116
-57.5,332.5,0.0,2020-12-01,-0.4344665
-57.5,337.5,0.0,2020-12-01,-0.34612578
-57.5,342.5,0.0,2020-12-01,-0.40663856
-57.5,347.5,0.0,2020-12-01,-0.41447794
-57.5,352.5,0.0,2020-12-01,-0.4230021
-57.5,357.5,0.0,2020-12-01,-0.39189637
-52.5,2.5,0.0,2020-12-01,-0.36819026
-52.5,7.5,0.0,2020-12-01,-0.2686838
-52.5,12.5,0.0,2020-12-01,-0.25682116
-52.5,17.5,0.0,2020-12-01,-0.27173945
-52.5,22.5,0.0,2020-12-01,-0.2678978
-52.5,27.5,0.0,2020-12-01,-0.2956901
-52.5,32.5,0.0,2020-12-01,-0.31847462
-52.5,37.5,0.0,2020-12-01,-0.4049226
-52.5,42.5,0.0,2020-12-01,-0.3956247
-52.5,47.5,0.0,2020-12-01,-0.34316134
-52.5,52.5,0.0,2020-12-01,-0.29043934
-52.5,57.5,0.0,2020-12-01,-0.26949152
-52.5,62.5,0.0,2020-12-01,-0.22153029
-52.5,67.5,0.0,2020-12-01,-0.15310013
-52.5,72.5,0.0,2020-12-01,-0.110199556
-52.5,77.5,0.0,2020-12-01,-0.023647351
-52.5,82.5,0.0,2020-12-01,-0.060457546
-52.5,87.5,0.0,2020-12-01,-0.069352955
-52.5,92.5,0.0,2020-12-01,-0.007584637
-52.5,97.5,0.0,2020-12-01,0.05802992
-52.5,102.5,0.0,2020-12-01,0.12652937
-52.5,107.5,0.0,2020-12-01,0.12087496
-52.5,112.5,0.0,2020-12-01,0.05455235
-52.5,117.5,0.0,2020-12-01,0.016269222
-52.5,122.5,0.0,2020-12-01,0.023139903
-52.5,127.5,0.0,2020-12-01,-0.077483624
-52.5,132.5,0.0,2020-12-01,-0.17970316
-52.5,137.5,0.0,2020-12-01,-0.30952364
-52.5,142.5,0.0,2020-12-01,-0.39320877
-52.5,147.5,0.0,2020-12-01,-0.36033744
-52.5,152.5,0.0,2020-12-01,-0.28496876
-52.5,157.5,0.0,2020-12-01,0.005057752
-52.5,162.5,0.0,2020-12-01,-0.10935537
-52.5,167.5,0.0,2020-12-01,0.052961692
-52.5,172.5,0.0,2020-12-01,0.04509424
-52.5,177.5,0.0,2020-12-01,0.057569332
-52.5,182.5,0.0,2020-12-01,-0.030431928
-52.5,187.5,0.0,2020-12-01,0.053940244
-52.5,192.5,0.0,2020-12-01,0.12291913
-52.5,197.5,0.0,2020-12-01,0.1271055
-52.5,202.5,0.0,2020-12-01,0.11435115
-52.5,207.5,0.0,2020-12-01,0.020844696
-52.5,212.5,0.0,2020-12-01,-0.10993912
-52.5,217.5,0.0,2020-12-01,-0.11957637
